"","Region","sample","Bed thickness","Avg dune height","height in succession","depth in well","facies","Association","Body thickness","sub facies association","bar thickness","Storey thickness","no stories","mm","Notes","STUDY_AREA","type","ZONE","THICKNESS..m.","source","underlying","X","Y","phi","gs_name","gs_other","phi_alter","bed"
"1","2_PARANA","PR004",1.3,NA,1.3,NA,"Sti","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B1"
"2","2_PARANA","PR004",0.4,"0.23",1.7,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B2"
"3","2_PARANA","PR004",0.25,NA,1.95,NA,"Sl","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B3"
"4","2_PARANA","PR004",0.1,NA,2.05,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B4"
"5","2_PARANA","PR004",0.1,NA,2.15,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B5"
"6","2_PARANA","PR004",0.1,NA,2.25,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B6"
"7","2_PARANA","PR004",0.9,NA,3.15,NA,"Sp","C",NA,"Cpsb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B7"
"8","2_PARANA","PR004",0.5,NA,3.65,NA,"COVERED",NA,NA,NA,NA,NA,NA,NA,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,-12,NA,NA,-4,"B8"
"9","2_PARANA","PR004",1.1,NA,4.75,NA,"Sti","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B9"
"10","2_PARANA","PR004",0.05,NA,4.8,NA,"Gm","C",NA,"Cpcb",NA,NA,NA,64,"intraformational lag","2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,-6,"cobble","cobble",2,"B10"
"11","2_PARANA","PR004",0.2,NA,5,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B11"
"12","2_PARANA","PR004",0.2,NA,5.2,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B12"
"13","2_PARANA","PR004",0.2,NA,5.4,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B13"
"14","2_PARANA","PR004",0.2,NA,5.6,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B14"
"15","2_PARANA","PR004",0.2,NA,5.8,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B15"
"16","2_PARANA","PR004",0.2,NA,6,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B16"
"17","2_PARANA","PR004",0.1,NA,6.1,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,1,"coarse sand","sand",9,"B17"
"18","2_PARANA","PR004",0.05,NA,6.15,NA,"Gm","C",NA,"Cpd",NA,NA,NA,64,"gravel lag","2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,-6,"cobble","cobble",2,"B18"
"19","2_PARANA","PR004",0.3,NA,6.45,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B19"
"20","2_PARANA","PR004",0.3,NA,6.75,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B20"
"21","2_PARANA","PR004",0.3,NA,7.05,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B21"
"22","2_PARANA","PR004",0.2,NA,7.25,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B22"
"23","2_PARANA","PR004",0.2,NA,7.45,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B23"
"24","2_PARANA","PR004",0.5,NA,7.95,NA,"S","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B24"
"25","2_PARANA","PR004",0.4,NA,8.35,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B25"
"26","2_PARANA","PR004",1.65,NA,10,NA,"S","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B26"
"27","2_PARANA","PR004",0.05,NA,10.05,NA,"Gm","C",NA,"Cpd",NA,NA,NA,4,"gravel lag","2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,-2,"fine gravel","pebble",6,"B27"
"28","2_PARANA","PR004",0.3,NA,10.35,NA,"Sp","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B28"
"29","2_PARANA","PR004",0.1,NA,10.45,NA,"Sl","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B29"
"30","2_PARANA","PR004",0.3,NA,10.75,NA,"Sp","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B30"
"31","2_PARANA","PR004",0.25,NA,11,NA,"Sl","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B31"
"32","2_PARANA","PR004",0.3,NA,11.3,NA,"Sp","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B32"
"33","2_PARANA","PR004",0.4,NA,11.7,NA,"Sl","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",12.5,NA,NA,-51.195512047476,-25.3242262160228,0,"very coarse sand","sand",8,"B33"
"34","2_PARANA","PR005",0.8,NA,0.8,NA,"Sp","C",NA,"Cpsb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B1"
"35","2_PARANA","PR005",0.2,NA,1,NA,"Gm","C",NA,"Cpd",NA,NA,NA,64,"gravel lag","2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,-6,"cobble","cobble",2,"B2"
"36","2_PARANA","PR005",0.15,"0.23749999999999999",1.15,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,0,"very coarse sand","sand",8,"B3"
"37","2_PARANA","PR005",0.15,NA,1.3,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,0,"very coarse sand","sand",8,"B4"
"38","2_PARANA","PR005",0.3,NA,1.6,NA,"St","C",NA,"Cpd",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,2,"medium sand","sand",10,"B5"
"39","2_PARANA","PR005",0.1,NA,1.7,NA,"Gm","C",NA,"Cpd",NA,NA,NA,256,"gravel lag","2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,-8,"boulder","boulder",0,"B6"
"40","2_PARANA","PR005",0.4,NA,2.1,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,0,"very coarse sand","sand",8,"B7"
"41","2_PARANA","PR005",0.05,NA,2.15,NA,"Gm","C",NA,"Cpcb",NA,NA,NA,64,"gravel lag","2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,-6,"cobble","cobble",2,"B8"
"42","2_PARANA","PR005",0.2,NA,2.35,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B9"
"43","2_PARANA","PR005",0.2,NA,2.55,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B10"
"44","2_PARANA","PR005",0.2,NA,2.75,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B11"
"45","2_PARANA","PR005",0.2,NA,2.95,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B12"
"46","2_PARANA","PR005",0.2,NA,3.15,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B13"
"47","2_PARANA","PR005",0.25,NA,3.4,NA,"Sp","C",NA,"Cpcb",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,2,"medium sand","sand",10,"B14"
"48","2_PARANA","PR005",0.25,NA,3.65,NA,"Sp","C",NA,"Cpcb",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,2,"medium sand","sand",10,"B15"
"49","2_PARANA","PR005",0.25,NA,3.9,NA,"Sp","C",NA,"Cpcb",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,2,"medium sand","sand",10,"B16"
"50","2_PARANA","PR005",0.25,NA,4.15,NA,"Sp","C",NA,"Cpcb",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,2,"medium sand","sand",10,"B17"
"51","2_PARANA","PR005",1.25,NA,5.4,NA,"Sp","C",NA,"Cpsb",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,2,"medium sand","sand",10,"B18"
"52","2_PARANA","PR005",0.2,NA,5.6,NA,"Sr","C",NA,"Cpd",NA,NA,NA,0.125,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,3,"fine sand","sand",11,"B19"
"53","2_PARANA","PR005",0.2,NA,5.8,NA,"St","C",NA,"Cpd",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,2,"medium sand","sand",10,"B20"
"54","2_PARANA","PR005",0.2,NA,6,NA,"St","C",NA,"Cpd",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,2,"medium sand","sand",10,"B21"
"55","2_PARANA","PR005",0.3,NA,6.3,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B22"
"56","2_PARANA","PR005",0.05,NA,6.35,NA,"Gm","C",NA,"Cpcb",NA,NA,NA,4,"gravel lag","2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,-2,"fine gravel","pebble",6,"B23"
"57","2_PARANA","PR005",0.25,NA,6.6,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B24"
"58","2_PARANA","PR005",0.25,NA,6.85,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B25"
"59","2_PARANA","PR005",0.2,NA,7.05,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B26"
"60","2_PARANA","PR005",0.25,NA,7.3,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B27"
"61","2_PARANA","PR005",0.25,NA,7.55,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B28"
"62","2_PARANA","PR005",0.2,NA,7.75,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B29"
"63","2_PARANA","PR005",0.25,NA,8,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B30"
"64","2_PARANA","PR005",0.25,NA,8.25,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B31"
"65","2_PARANA","PR005",0.05,NA,8.3,NA,"Gm","C",NA,"Cpd",NA,NA,NA,4,"intraformational gravel lag","2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,-2,"fine gravel","pebble",6,"B32"
"66","2_PARANA","PR005",0.25,NA,8.55,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B33"
"67","2_PARANA","PR005",0.25,NA,8.8,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B34"
"68","2_PARANA","PR005",0.25,NA,9.05,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B35"
"69","2_PARANA","PR005",0.2,NA,9.25,NA,"Sr","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B36"
"70","2_PARANA","PR005",0.25,NA,9.5,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B37"
"71","2_PARANA","PR005",0.25,NA,9.75,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B38"
"72","2_PARANA","PR005",0.25,NA,10,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B39"
"73","2_PARANA","PR005",0.25,NA,10.25,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B40"
"74","2_PARANA","PR005",0.25,NA,10.5,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,1,"coarse sand","sand",9,"B41"
"75","2_PARANA","PR005",0.8,NA,11.3,NA,"Gt","C",NA,"Cpd",NA,NA,NA,4,"gravel bed","2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,-2,"fine gravel","pebble",6,"B42"
"76","2_PARANA","PR005",0.6,NA,11.9,NA,"Sr","C",NA,"Cpd",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",11.45,NA,NA,-51.3498801250466,-24.6102730801516,2,"medium sand","sand",10,"B43"
"77","2_PARANA","PR010",0.3,NA,0.3,NA,"Sl","C",NA,"Cpd",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,2,"medium sand","sand",10,"B1"
"78","2_PARANA","PR010",0.3,NA,0.6,NA,"Gm","C",NA,"Cpd",NA,NA,NA,64,"gravel bed","2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,-6,"cobble","cobble",2,"B2"
"79","2_PARANA","PR010",0.2,"0.1973",0.8,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,1,"coarse sand","sand",9,"B3"
"80","2_PARANA","PR010",0.15,NA,0.95,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,1,"coarse sand","sand",9,"B4"
"81","2_PARANA","PR010",0.15,NA,1.1,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,1,"coarse sand","sand",9,"B5"
"82","2_PARANA","PR010",0.6,NA,1.7,NA,"Gm","C",NA,"Cpd",NA,NA,NA,64,"gravel bed","2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,-6,"cobble","cobble",2,"B6"
"83","2_PARANA","PR010",0.2,NA,1.9,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,0,"very coarse sand","sand",8,"B7"
"84","2_PARANA","PR010",0.2,NA,2.1,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,1,"coarse sand","sand",9,"B8"
"85","2_PARANA","PR010",0.2,NA,2.3,NA,"St","C",NA,"Cpd",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,2,"medium sand","sand",10,"B9"
"86","2_PARANA","PR010",0.3,NA,2.6,NA,"Fl","F",NA,"Fm",NA,NA,NA,0.002,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,9,"clay","mud",17,"B10"
"87","2_PARANA","PR010",0.05,NA,2.65,NA,"Gm","C",NA,"Cpd",NA,NA,NA,4,"gravel lag","2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,-2,"fine gravel","pebble",6,"B11"
"88","2_PARANA","PR010",0.15,NA,2.8,NA,"Sl","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,1,"coarse sand","sand",9,"B12"
"89","2_PARANA","PR010",0.15,NA,2.95,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,1,"coarse sand","sand",9,"B13"
"90","2_PARANA","PR010",0.2,NA,3.15,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,1,"coarse sand","sand",9,"B14"
"91","2_PARANA","PR010",0.2,NA,3.35,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,1,"coarse sand","sand",9,"B15"
"92","2_PARANA","PR010",0.225,NA,3.575,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,1,"coarse sand","sand",9,"B16"
"93","2_PARANA","PR010",0.2,NA,3.775,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,1,"coarse sand","sand",9,"B17"
"94","2_PARANA","PR010",0.225,NA,4,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,1,"coarse sand","sand",9,"B18"
"95","2_PARANA","PR010",0.2,NA,4.2,NA,"St","C",NA,"Cpd",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,2,"medium sand","sand",10,"B19"
"96","2_PARANA","PR010",0.25,NA,4.45,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,2,"medium sand","sand",10,"B20"
"97","2_PARANA","PR010",0.3,NA,4.75,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,2,"medium sand","sand",10,"B21"
"98","2_PARANA","PR010",0.2,NA,4.95,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,2,"medium sand","sand",10,"B22"
"99","2_PARANA","PR010",0.2,NA,5.15,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,2,"medium sand","sand",10,"B23"
"100","2_PARANA","PR010",0.15,NA,5.3,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,2,"medium sand","sand",10,"B24"
"101","2_PARANA","PR010",0.15,NA,5.45,NA,"St","C",NA,"Cpcb",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,2,"medium sand","sand",10,"B25"
"102","2_PARANA","PR010",0.4,NA,5.85,NA,"Ss","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,0,"very coarse sand","sand",8,"B26"
"103","2_PARANA","PR010",0.8,NA,6.65,NA,"Sm","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",6,NA,NA,-51.2224482587,-24.4899798014562,0,"very coarse sand","sand",8,"B27"
"104","2_PARANA","PR011",0.25,"0.22500000000000001",0.25,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6.5,NA,NA,-51.0924854644967,-23.9972304635985,1,"coarse sand","sand",9,"B1"
"105","2_PARANA","PR011",0.25,NA,0.5,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6.5,NA,NA,-51.0924854644967,-23.9972304635985,1,"coarse sand","sand",9,"B2"
"106","2_PARANA","PR011",0.25,NA,0.75,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6.5,NA,NA,-51.0924854644967,-23.9972304635985,1,"coarse sand","sand",9,"B3"
"107","2_PARANA","PR011",0.25,NA,1,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6.5,NA,NA,-51.0924854644967,-23.9972304635985,1,"coarse sand","sand",9,"B4"
"108","2_PARANA","PR011",0.3,NA,1.3,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6.5,NA,NA,-51.0924854644967,-23.9972304635985,1,"coarse sand","sand",9,"B5"
"109","2_PARANA","PR011",0.05,NA,1.35,NA,"Gm","C",NA,"Cpd",NA,NA,NA,2,"gravel lag","2 PARANÁ","crop","22J",6.5,NA,NA,-51.0924854644967,-23.9972304635985,-1,"very fine gravel","granules",7,"B6"
"110","2_PARANA","PR011",0.25,NA,1.6,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",6.5,NA,NA,-51.0924854644967,-23.9972304635985,0,"very coarse sand","sand",8,"B7"
"111","2_PARANA","PR011",0.2,NA,1.8,NA,"St","C",NA,"Cpd",NA,NA,NA,1,NA,"2 PARANÁ","crop","22J",6.5,NA,NA,-51.0924854644967,-23.9972304635985,0,"very coarse sand","sand",8,"B8"
"112","2_PARANA","PR011",0.2,NA,2,NA,"St","C",NA,"Cpd",NA,NA,NA,0.5,NA,"2 PARANÁ","crop","22J",6.5,NA,NA,-51.0924854644967,-23.9972304635985,1,"coarse sand","sand",9,"B9"
"113","2_PARANA","PR011",0.2,NA,2.2,NA,"St","C",NA,"Cpd",NA,NA,NA,0.25,NA,"2 PARANÁ","crop","22J",6.5,NA,NA,-51.0924854644967,-23.9972304635985,2,"medium sand","sand",10,"B10"
"114","2_PARANA","PR011",0.05,NA,2.25,NA,"Gm","C",NA,"Cpd",NA,NA,NA,4,"gravel lag, 0.5 m relief","2 PARANÁ","crop","22J",6.5,NA,NA,-51.0924854644967,-23.9972304635985,-2,"fine gravel","pebble",6,"B11"
